LF,flow_x,flow_y,flow_z,parcel_size,dom_x,dom_y,dom_z,quads,rk_order,ftts,cost,rho
lf-1/lf0,128,32,32,100,64,16,16,86,4,3,26409.236,0.853533959
lf-1/lf1,128,32,32,100,64,16,16,50,4,3,30142.068,0.8396629772
lf-1/lf2,128,32,32,100,64,16,8,86,4,3,25832.975,0.8281793154
lf-1/lf3,128,32,32,100,64,16,8,50,4,3,25913.202,0.8322283307
lf-1/lf4,128,32,32,100,64,8,16,86,4,3,26059.244,0.8311355232
lf-1/lf5,128,32,32,100,64,8,16,50,4,3,26107.106,0.8446767259
lf-1/lf6,128,32,32,100,64,8,8,86,4,3,26023.964,0.815882675
lf-1/lf7,128,32,32,100,64,8,8,50,4,3,25996.319,0.8213648906
lf-1/lf8,128,32,32,100,32,16,16,86,4,3,25144.847,0.8550028679
lf-1/lf9,128,32,32,100,32,16,16,50,4,3,24950.487,0.8687499994
lf-1/lf10,128,32,32,100,32,16,8,86,4,3,25319,0.8300773
lf-1/lf11,128,32,32,100,32,16,8,50,4,3,24636.427,0.8140875823
lf-1/lf12,128,32,32,100,32,8,16,86,4,3,25158.837,0.8763410509
lf-1/lf13,128,32,32,100,32,8,16,50,4,3,25328.036,0.8386912819
lf-1/lf14,128,32,32,100,32,8,8,86,4,3,25043.405,0.8137002402
lf-1/lf15,128,32,32,100,32,8,8,50,4,3,25451.095,0.8389041357
lf-1/lf16,128,32,32,100,0,0,0,0,4,3,22037.999,0.8390921005
lf-1/lf17,128,32,32,10,64,16,16,86,4,3,26905.759,0.911721091
lf-1/lf18,128,32,32,10,64,16,16,50,4,3,27812.944,0.924679277
lf-1/lf19,128,32,32,10,64,16,8,86,4,3,26308.634,0.9383045362
lf-1/lf20,128,32,32,10,64,16,8,50,4,3,26818.952,0.918456617
lf-1/lf21,128,32,32,10,64,8,16,86,4,3,26335.113,0.9028247892
lf-1/lf22,128,32,32,10,64,8,16,50,4,3,27459.441,0.8865772503
lf-1/lf23,128,32,32,10,64,8,8,86,4,3,26339.498,0.9093913225
lf-1/lf24,128,32,32,10,64,8,8,50,4,3,26444.856,0.8991856548
lf-1/lf25,128,32,32,10,32,16,16,86,4,3,25802.877,0.9058069799
lf-1/lf26,128,32,32,10,32,16,16,50,4,3,25774.641,0.930902141
lf-1/lf27,128,32,32,10,32,16,8,86,4,3,25538.107,0.9223489504
lf-1/lf28,128,32,32,10,32,16,8,50,4,3,25544.152,0.9024743672
lf-1/lf29,128,32,32,10,32,8,16,86,4,3,25463.702,0.9040323981
lf-1/lf30,128,32,32,10,32,8,16,50,4,3,27424.527,0.8837503109
lf-1/lf31,128,32,32,10,32,8,8,86,4,3,25603.931,0.9181988901
lf-1/lf32,128,32,32,10,32,8,8,50,4,3,25289.345,0.894746067
lf-1/lf33,128,32,32,10,0,0,0,0,4,3,22030.695,0.9197845434
lf-1/lf34,128,32,16,100,64,16,16,86,4,3,25730.941,0.8617021141
lf-1/lf35,128,32,16,100,64,16,16,50,4,3,30332.299,0.9085708098
lf-1/lf36,128,32,16,100,64,16,8,86,4,3,25260.504,0.8602311646
lf-1/lf37,128,32,16,100,64,16,8,50,4,3,25205.41,0.9056041439
lf-1/lf38,128,32,16,100,64,8,16,86,4,3,25733.033,0.8915830406
lf-1/lf39,128,32,16,100,64,8,16,50,4,3,25739.35,0.8988245781
lf-1/lf40,128,32,16,100,64,8,8,86,4,3,26079.384,0.8914988965
lf-1/lf41,128,32,16,100,64,8,8,50,4,3,26054.166,0.9008590684
lf-1/lf42,128,32,16,100,32,16,16,86,4,3,24611.252,0.9048917889
lf-1/lf43,128,32,16,100,32,16,16,50,4,3,24271.098,0.9041987268
lf-1/lf44,128,32,16,100,32,16,8,86,4,3,24412.439,0.9057645435
lf-1/lf45,128,32,16,100,32,16,8,50,4,3,24823.723,0.8951066906
lf-1/lf46,128,32,16,100,32,8,16,86,4,3,24568.795,0.9136057492
lf-1/lf47,128,32,16,100,32,8,16,50,4,3,24867.401,0.8529817277
lf-1/lf48,128,32,16,100,32,8,8,86,4,3,23954.382,0.9111697005
lf-1/lf49,128,32,16,100,32,8,8,50,4,3,24494.051,0.9004555718
lf-1/lf50,128,32,16,100,0,0,0,0,4,3,21385.334,0.8939043547
lf-1/lf51,128,32,16,10,64,16,16,86,4,3,26296.52,0.9340725982
lf-1/lf52,128,32,16,10,64,16,16,50,4,3,27418.057,0.9294606997
lf-1/lf53,128,32,16,10,64,16,8,86,4,3,25933.392,0.9437065483
lf-1/lf54,128,32,16,10,64,16,8,50,4,3,25811.828,0.9537842842
lf-1/lf55,128,32,16,10,64,8,16,86,4,3,25829.657,0.9300926555
lf-1/lf56,128,32,16,10,64,8,16,50,4,3,26266.926,0.9501790485
lf-1/lf57,128,32,16,10,64,8,8,86,4,3,26009.804,0.9434371737
lf-1/lf58,128,32,16,10,64,8,8,50,4,3,25892.115,0.915670494
lf-1/lf59,128,32,16,10,32,16,16,86,4,3,25417.682,0.9228040645
lf-1/lf60,128,32,16,10,32,16,16,50,4,3,25310.741,0.9297070502
lf-1/lf61,128,32,16,10,32,16,8,86,4,3,24811.041,0.9206665754
lf-1/lf62,128,32,16,10,32,16,8,50,4,3,26361.669,0.926525015
lf-1/lf63,128,32,16,10,32,8,16,86,4,3,25061.434,0.9330823226
lf-1/lf64,128,32,16,10,32,8,16,50,4,3,25120.2,0.9460123171
lf-1/lf65,128,32,16,10,32,8,8,86,4,3,24449.722,0.92457289
lf-1/lf66,128,32,16,10,32,8,8,50,4,3,25020.26,0.9453759439
lf-1/lf67,128,32,16,10,0,0,0,0,4,3,22224.607,0.9503374953
lf-1/lf68,128,16,32,100,64,16,16,86,4,3,26250.402,0.9144591014
lf-1/lf69,128,16,32,100,64,16,16,50,4,3,29914.794,0.9056466227
lf-1/lf70,128,16,32,100,64,16,8,86,4,3,25520.894,0.9115980675
lf-1/lf71,128,16,32,100,64,16,8,50,4,3,25713.034,0.8595922285
lf-1/lf72,128,16,32,100,64,8,16,86,4,3,25541.037,0.9000298758
lf-1/lf73,128,16,32,100,64,8,16,50,4,3,25710.858,0.9346709812
lf-1/lf74,128,16,32,100,64,8,8,86,4,3,25715.281,0.8831670604
lf-1/lf75,128,16,32,100,64,8,8,50,4,3,26249.225,0.9276276266
lf-1/lf76,128,16,32,100,32,16,16,86,4,3,24976.592,0.8674410075
lf-1/lf77,128,16,32,100,32,16,16,50,4,3,25106.791,0.8696651807
lf-1/lf78,128,16,32,100,32,16,8,86,4,3,24780.366,0.904994912
lf-1/lf79,128,16,32,100,32,16,8,50,4,3,25424.649,0.8771416839
lf-1/lf80,128,16,32,100,32,8,16,86,4,3,25164.012,0.9067704536
lf-1/lf81,128,16,32,100,32,8,16,50,4,3,25064.473,0.9122910917
lf-1/lf82,128,16,32,100,32,8,8,86,4,3,23902.965,0.9244935912
lf-1/lf83,128,16,32,100,32,8,8,50,4,3,24639.752,0.8918613461
lf-1/lf84,128,16,32,100,0,0,0,0,4,3,21111.585,0.869747675
lf-1/lf85,128,16,32,10,64,16,16,86,4,3,25980.381,0.9352744109
lf-1/lf86,128,16,32,10,64,16,16,50,4,3,27041.709,0.9336015409
lf-1/lf87,128,16,32,10,64,16,8,86,4,3,25741.231,0.9341461428
lf-1/lf88,128,16,32,10,64,16,8,50,4,3,26132.384,0.9378607486
lf-1/lf89,128,16,32,10,64,8,16,86,4,3,25512.625,0.9449820496
lf-1/lf90,128,16,32,10,64,8,16,50,4,3,26575.809,0.9444710833
lf-1/lf91,128,16,32,10,64,8,8,86,4,3,26092.729,0.9465454101
lf-1/lf92,128,16,32,10,64,8,8,50,4,3,25800.605,0.9396043939
lf-1/lf93,128,16,32,10,32,16,16,86,4,3,25091.192,0.9121793113
lf-1/lf94,128,16,32,10,32,16,16,50,4,3,24956.511,0.9341063117
lf-1/lf95,128,16,32,10,32,16,8,86,4,3,24833.401,0.9442210018
lf-1/lf96,128,16,32,10,32,16,8,50,4,3,24879.679,0.9409901859
lf-1/lf97,128,16,32,10,32,8,16,86,4,3,24872.13,0.9150637389
