Re_W                     St_eta                   MLR                      R                        chi                      C
5.036389994815247519e+03 9.549156163960652588e-01 1.284610978447534024e-01 4.246952992327426846e-01 6.156515595819042619e-02 1.584037255015131818e+00
5.224304386454513406e+03 1.031501239393678659e+00 1.386248295107803952e-01 4.167732469771294190e-01 5.847176481517561003e-02 1.545565524680594161e+00
5.303941799920145968e+03 9.876308711645294114e-01 1.315745522190135686e-01 4.003260525575726980e-01 5.998728108788327351e-02 1.568836632921678298e+00
5.360696058248541704e+03 9.956032901688400827e-01 1.349332050208109368e-01 4.382335410746006632e-01 6.063611503017294485e-02 1.516343185237925439e+00
5.089807403001713283e+03 1.015653329132025551e+00 1.394578532876007415e-01 4.045324164505614273e-01 5.925838794135050019e-02 1.632580922914824928e+00
5.125057181720584595e+03 9.771593958787855305e-01 1.322756032080474875e-01 4.229524100716016699e-01 5.806090094482276726e-02 1.491719042182412025e+00
5.246649501551881258e+03 1.026131163714699479e+00 1.381403934587787929e-01 4.320661697805712187e-01 6.250120561332486724e-02 1.598096728304921221e+00
5.414419907631518981e+03 9.731682639701000337e-01 1.301841018121002169e-01 4.097310484665369623e-01 5.783213453806276827e-02 1.557467064585202454e+00
5.074916049580991057e+03 1.045895448579246878e+00 1.306757155479341681e-01 4.201177942897619255e-01 6.220385166914973313e-02 1.519551224977224724e+00
5.371085365682753036e+03 9.699983170902045648e-01 1.346814429914865441e-01 4.331528046100898699e-01 5.939418099884061913e-02 1.615724255370571738e+00
5.176601959380935114e+03 1.008132401363703856e+00 1.371427019656471513e-01 4.187647606911549802e-01 6.270895443910412537e-02 1.528932586619768941e+00
5.461932696293264598e+03 1.011463001157006492e+00 1.280378798918269112e-01 4.150011985191622288e-01 6.014344647568140717e-02 1.601871573701194817e+00
4.979133682496039910e+03 9.919262395548683608e-01 1.338188024930489495e-01 4.123190219168606507e-01 5.955117557187630112e-02 1.581283516798567490e+00
5.196234214770358449e+03 1.041395447644944072e+00 1.362938089401930231e-01 4.020651501383554205e-01 6.090753034163409740e-02 1.552356738824230975e+00
5.394436642183780350e+03 9.588295417288899003e-01 1.376109225381156320e-01 4.261198799134827131e-01 5.745345406817627815e-02 1.510305608269279620e+00
5.335936345059628366e+03 1.047775544438739992e+00 1.290982006088858269e-01 4.348839403874135146e-01 5.986344145450104431e-02 1.535160960881870817e+00
5.211116202895223068e+03 1.036520837999532541e+00 1.320455707867707329e-01 4.297361510841234966e-01 5.893412634872474687e-02 1.619291370480083314e+00
5.063803776921414283e+03 1.003973800938483318e+00 1.355804034221531340e-01 4.131083835534643534e-01 6.113253986958355757e-02 1.505253794300712711e+00
4.995949629147606174e+03 9.790767069799050093e-01 1.406482455391454556e-01 4.218052589745606151e-01 6.239122605768046559e-02 1.567111843665039750e+00
5.164895730641869704e+03 1.010435107852411862e+00 1.277259259408888015e-01 4.364324468450189176e-01 5.829038758570337375e-02 1.549535237993815429e+00
5.323329846120828734e+03 9.676509341122621066e-01 1.325938540291132783e-01 3.990909804385258108e-01 5.881952956387002246e-02 1.507902808303892339e+00
5.420084352833927369e+03 9.603197106707186403e-01 1.359828851618142820e-01 4.139242398195959183e-01 6.259457081883529339e-02 1.572932453388826923e+00
5.186388236135741863e+03 9.631397278775745141e-01 1.295027888813080896e-01 4.276822706034641430e-01 5.758488923694012052e-02 1.636040662613963192e+00
5.259021210497196989e+03 1.002030009731269988e+00 1.383297721456859253e-01 4.085094537265389070e-01 5.701600208655627222e-02 1.589464768397170769e+00
5.275751669042462709e+03 9.848662894492212772e-01 1.296289070502078533e-01 4.059069535799962880e-01 6.208614333720075679e-02 1.484433919474923869e+00
5.008322026223012472e+03 1.018034157385657279e+00 1.339508250686345381e-01 4.353782279401103295e-01 5.994377278101922779e-02 1.486642146453791113e+00
5.173428663429427615e+03 1.032980337993502085e+00 1.340673146260367710e-01 4.066162159038818058e-01 6.095341969590978987e-02 1.622760797352912343e+00
5.433344080054100232e+03 1.020631385766817889e+00 1.380496983818134682e-01 4.172685538510386705e-01 6.107757267891783526e-02 1.586137959655896434e+00
5.044229334347462100e+03 9.900425164826879287e-01 1.319144503553154879e-01 4.387257811742980573e-01 6.129579752640335749e-02 1.565129641391031390e+00
5.112625561220122108e+03 1.016995598697900682e+00 1.373143680381319620e-01 4.238099393422823380e-01 5.788846749662127783e-02 1.609432617346905570e+00
5.405428445418781848e+03 1.040408699748412102e+00 1.327856364937755884e-01 4.309408232140883865e-01 6.151020060351883312e-02 1.592676162686675445e+00
4.966788105125582661e+03 1.028169290365594568e+00 1.313914857404220315e-01 4.087683696721603477e-01 5.898500293340993433e-02 1.511766646958237370e+00
5.290966598748127581e+03 9.507446473168954526e-01 1.400018558091744025e-01 4.192834756221165970e-01 5.751033695883756708e-02 1.624945371861446164e+00
5.317998518247825814e+03 9.988353962767702043e-01 1.332998390282404133e-01 4.181369323779567937e-01 5.975261530248809905e-02 1.513774858412268109e+00
5.129974989720228223e+03 9.592841854805363999e-01 1.354253856179333526e-01 4.311090607875647795e-01 6.137937121709161753e-02 1.489755490524618864e+00
5.254005892068279536e+03 9.741157066534622544e-01 1.378635744200557567e-01 4.104875967145660276e-01 6.069419532652583354e-02 1.560387332313326381e+00
5.028986030697644310e+03 1.038903347325702331e+00 1.388160708992904613e-01 4.328167085704244799e-01 5.837227689956473592e-02 1.554154827425482166e+00
5.108259998422427998e+03 9.751337088858867963e-01 1.312615590896423490e-01 4.115564590533861145e-01 6.166307797685399716e-02 1.595387315284722884e+00
5.423840114914993137e+03 9.928552589750616608e-01 1.401043617866319924e-01 4.081163483070368025e-01 5.877990172688202924e-02 1.487571062898672025e+00
5.181518794643547153e+03 1.018888128541263205e+00 1.291781053157180503e-01 4.035804685260674929e-01 6.224383184236634281e-02 1.538913600483184041e+00
4.970905652096786980e+03 9.996380604446433171e-01 1.287165588959315321e-01 4.258415395686763194e-01 6.021757737766086221e-02 1.617984959193568439e+00
5.448394390997130358e+03 1.002658518204477378e+00 1.366715401069502622e-01 4.399554662661721016e-01 6.299185466222489982e-02 1.530443069989062099e+00
5.266934264333254760e+03 9.828097776424037368e-01 1.335289930059728458e-01 4.392935237264209425e-01 6.294684084879076380e-02 1.626487976729558360e+00
5.137663262245292572e+03 1.001126746876311202e+00 1.396559770049794758e-01 4.405405679860834867e-01 6.030437678481491426e-02 1.544148123156614316e+00
4.981985306215911805e+03 9.650543944798662954e-01 1.293792936212390665e-01 4.243292127328791019e-01 5.816852728436369691e-02 1.533572358572269589e+00
5.358312323471400305e+03 1.046799534197115689e+00 1.310316567980158164e-01 4.015482674756947201e-01 5.763968004933826828e-02 1.584396558892932516e+00
5.470243616648152056e+03 1.009306096814066800e+00 1.360878569462632137e-01 4.214453815840584761e-01 5.795124129987464651e-02 1.540537438132434378e+00
5.050862423663557820e+03 9.692147725292725724e-01 1.318483333047271722e-01 4.026679322560398622e-01 5.768791524407342053e-02 1.541837034658430028e+00
5.250189320505655814e+03 1.037709105253462827e+00 1.364825934164949905e-01 4.369378873656189488e-01 5.902467133147425854e-02 1.521802728749097389e+00
5.055600818591576171e+03 9.615539958745843441e-01 1.377826332010027854e-01 4.028902607929560342e-01 6.037944811961334229e-02 1.596493413839814801e+00
5.399267113901947596e+03 9.609600659881232243e-01 1.303042367886224073e-01 4.268868525769461408e-01 6.174987730840661437e-02 1.600792947399772848e+00
5.353370494371522909e+03 1.009828631044396463e+00 1.350846957546752991e-01 4.041304481821811345e-01 6.278800688892147153e-02 1.559170687240103881e+00
5.069758861724691087e+03 1.045029438012639700e+00 1.283317895310769619e-01 4.134807543685689590e-01 5.965291962631195932e-02 1.582644289189338194e+00
5.214045848416084482e+03 1.037276249711194032e+00 1.307494455607765838e-01 4.224055505608103056e-01 5.927707046691771398e-02 1.506344338474028266e+00
5.134138227466467470e+03 1.035028504909048186e+00 1.343761268268230946e-01 4.273738341077826797e-01 6.054544844810295923e-02 1.637204966897491953e+00
5.283399063840549388e+03 9.666615469070567457e-01 1.369477274488718199e-01 4.075492829624143831e-01 6.007805504982854233e-02 1.617031424181584187e+00
5.239831447659153127e+03 9.709229230064303495e-01 1.403011189617078547e-01 4.250280328902388827e-01 6.187547555997167242e-02 1.525228587366840305e+00
5.263546013021525141e+03 9.661742544787562670e-01 1.322056352875042584e-01 4.315574257781552014e-01 5.809339247510637155e-02 1.555671659196805390e+00
5.285866039539720987e+03 1.024592369358841459e+00 1.398136308689404694e-01 4.056097607338355893e-01 6.216226876466339479e-02 1.508977117881317387e+00
5.098990096949117287e+03 1.021845266898451232e+00 1.357753346530725103e-01 4.012428883363760024e-01 5.737541234014541247e-02 1.498885806921312236e+00
5.332384342347949314e+03 9.840797599300686871e-01 1.290417340388564649e-01 4.402126873460621148e-01 6.172237679727336779e-02 1.591899329924391315e+00
5.038887140135166192e+03 9.968950685118059818e-01 1.325531040711038500e-01 4.235488275110936285e-01 5.735872122282083263e-02 1.627847963675247200e+00
4.999461625524958436e+03 1.007468209812552029e+00 1.332103065361783245e-01 4.379357958624034430e-01 5.971747476181880898e-02 1.623580750424008956e+00
5.350365401151672813e+03 9.938788839389453011e-01 1.311596002569188624e-01 4.281911343056995500e-01 5.777474142134158414e-02 1.547701064654609882e+00
5.446155224070496843e+03 1.039221463206794871e+00 1.338662990620620719e-01 4.278840625262715358e-01 5.862133148971437890e-02 1.485747940571764625e+00
5.154296124005380989e+03 9.863285152596776850e-01 1.300336943968972980e-01 3.992715582026398757e-01 6.231561590227283065e-02 1.590279387989645077e+00
5.347709990567635032e+03 1.038184587465983855e+00 1.304212622100837660e-01 4.160184453821805239e-01 6.195844424949688983e-02 1.599126383608860724e+00
5.474513050615510110e+03 9.766357198629990188e-01 1.349998649686814101e-01 4.220323006028656732e-01 6.087346441329413022e-02 1.527737815192472537e+00
5.018226333414581859e+03 1.048603702399180326e+00 1.389163642642946839e-01 4.100546909923483141e-01 5.947786893061945274e-02 1.504556129223587169e+00
5.103862945662804123e+03 1.023657599078049873e+00 1.285407227087143611e-01 4.190594621190883440e-01 6.044253282038415664e-02 1.500496641542468756e+00
5.467776209873137304e+03 1.004426485131395541e+00 1.278217747361376222e-01 4.351306142106894925e-01 6.041721561929472295e-02 1.519029959627079762e+00
5.119685110499496659e+03 9.992390757971844062e-01 1.402504361907073449e-01 4.267188826993253414e-01 5.921091394179048284e-02 1.597539031239234353e+00
5.312141314202522153e+03 9.950814954676984181e-01 1.317216538293281836e-01 4.195518443794320484e-01 5.826328728272112123e-02 1.621451444751900173e+00
4.958049567282207136e+03 9.794356177579374156e-01 1.379609185147323280e-01 4.062398918218806942e-01 6.210314878901295604e-02 1.569626437930867979e+00
5.297225112342209286e+03 9.518670334646901487e-01 1.363621349931817828e-01 4.057681264716240244e-01 5.968963420684881421e-02 1.531357838018659656e+00
5.159336737871479272e+03 1.006642989194093785e+00 1.329016670811355438e-01 4.372285836268540726e-01 6.110310032293895383e-02 1.622102960705531949e+00
5.363581377530536884e+03 9.671800344970451491e-01 1.398956890691377131e-01 4.008357833590552866e-01 5.754022524564376267e-02 1.537220837431040321e+00
5.144535938119141974e+03 1.018517158997217287e+00 1.335804828237850128e-01 4.391184124181977122e-01 6.142134238571065469e-02 1.515536075083327328e+00
5.454687013554537771e+03 9.819575455524455210e-01 1.352132572592217585e-01 4.092338327381911389e-01 5.887236991275006381e-02 1.550297887169006072e+00
5.117185618049224104e+03 9.801659718571623658e-01 1.274066661412287249e-01 4.335063598206617130e-01 6.026297477220778770e-02 1.564053053202927090e+00
5.140760317112938537e+03 1.016260934002531480e+00 1.341190138615136473e-01 4.105894995570088524e-01 5.797411431498374068e-02 1.579216512861617128e+00
5.157620409695324270e+03 9.784804975140080074e-01 1.404879603360341678e-01 4.300186500978494530e-01 6.158721977143839788e-02 1.633326412528797400e+00
5.256097080746855681e+03 9.814869548518033726e-01 1.275572126228088354e-01 4.343238581085884786e-01 5.913836312149800545e-02 1.502005744596814241e+00
5.025792312943296565e+03 9.580924722273465033e-01 1.342084156771593262e-01 4.021867347737878018e-01 6.058287997668281716e-02 1.500015708620247246e+00
5.428603999091756123e+03 1.028537974135545818e+00 1.357161873770272309e-01 4.099394897464594956e-01 6.272609078799562532e-02 1.620767225644324849e+00
5.170557290095532153e+03 9.882099892723914536e-01 1.366200480647127846e-01 4.407199098642270441e-01 5.760965377668492149e-02 1.558329091106733344e+00
5.319705038530620186e+03 9.974892964059931533e-01 1.303567805017903647e-01 4.204231627293483209e-01 6.246647491248334683e-02 1.571377069765558243e+00
5.009950292166518921e+03 1.019279278958946877e+00 1.287977066876888066e-01 4.018083350101182005e-01 5.710806486891858991e-02 1.630747060453537678e+00
5.368454934581251109e+03 1.049954282648700277e+00 1.392573675317672066e-01 4.272013527047707204e-01 5.873336887110267718e-02 1.526269664636561885e+00
5.013642032359061886e+03 1.026556256644333143e+00 1.299857425242465503e-01 4.121421770889041603e-01 6.227450552168624365e-02 1.578614254399673955e+00
5.167427173954461978e+03 1.030553175043626757e+00 1.389582844032201114e-01 4.226426833843909270e-01 6.169236516407343440e-02 1.610165862569238548e+00
5.418430825703250775e+03 1.008886491203040636e+00 1.387547380001880604e-01 4.360360949126665386e-01 5.990540864933040222e-02 1.580942500028490683e+00
5.243121420972133819e+03 9.811283038622029551e-01 1.308954614254907167e-01 4.153621056824025048e-01 5.818998232139464821e-02 1.539792051944203433e+00
5.375460544734850373e+03 1.022630820223636272e+00 1.336480527674137331e-01 4.293393823283611632e-01 5.944740932928842952e-02 1.568329225219114997e+00
4.969329454066226390e+03 9.835760937775807067e-01 1.394009978164493235e-01 4.175723408544019799e-01 5.917405771444180645e-02 1.587995391763118214e+00
5.367183249714808881e+03 9.558133524704102157e-01 1.334478114005596405e-01 4.396483703264255083e-01 6.214019718982805723e-02 1.504158726791208212e+00
5.334261547320821592e+03 1.039590267955097236e+00 1.294532534432890347e-01 4.124481706426663119e-01 5.856627814576091662e-02 1.548525262278785064e+00
5.260809836276278475e+03 9.869397479347478130e-01 1.395786878593467117e-01 4.158040659541514805e-01 5.860200515305474117e-02 1.486226544368991709e+00
5.397288975894933174e+03 1.034643332088887924e+00 1.305891060706825257e-01 4.168933273141495199e-01 6.283503509699694956e-02 1.509717438985351823e+00
5.101012519147010607e+03 9.683347759540920086e-01 1.362582286303165024e-01 4.210853560064439227e-01 5.725089706596249439e-02 1.566530073247808241e+00
5.067560273624795627e+03 9.547058025247048274e-01 1.276030968665965992e-01 4.108720514985409467e-01 5.984854028584421504e-02 1.487059880810304380e+00
5.439820921481215919e+03 1.042415886984362938e+00 1.329727790725015457e-01 4.166745572400873954e-01 5.950308014859231887e-02 1.614397944110979255e+00
5.084601464882374785e+03 9.890446720055257046e-01 1.297562903843882953e-01 4.325798877840295042e-01 5.843948115635899665e-02 1.613681734152445868e+00
5.033444222597123371e+03 1.045438065436411490e+00 1.390041735561932668e-01 4.148437538326137375e-01 5.867608829249789520e-02 1.606884206073810439e+00
5.411037709171154347e+03 9.515537973704339958e-01 1.281448415358839577e-01 4.336421752303861177e-01 6.102486675060114774e-02 1.518246225303221175e+00
5.278796002622633750e+03 1.041008092401769058e+00 1.406975601049447744e-01 4.142705412188009695e-01 6.180423182194343806e-02 1.546272443318896350e+00
4.983065526999524991e+03 1.038442780259068554e+00 1.360245766272560053e-01 4.302845656885145864e-01 6.163097966327676230e-02 1.542679003374674673e+00
5.209400078143105929e+03 9.962842125556028439e-01 1.323698369276690989e-01 4.033876614060328269e-01 6.139656381763801407e-02 1.575782008581401605e+00
5.289292443693599125e+03 9.894279317126170037e-01 1.348619745049967067e-01 4.178751586135460161e-01 6.074528868891555800e-02 1.602771762586837845e+00
5.191783147987564917e+03 9.596686309766734313e-01 1.378092703283440579e-01 4.409685698582782587e-01 5.884997703859069784e-02 1.620078499604160838e+00
5.270579597972460761e+03 1.029261728942770127e+00 1.342716225733612267e-01 4.206147396474396727e-01 5.780012751393297926e-02 1.520966863917261325e+00
5.257855108231983650e+03 9.657876246052111702e-01 1.278825356366219967e-01 4.076319639194854738e-01 5.728003145055406836e-02 1.627155918697874792e+00
4.991895598923630132e+03 1.014091041621755007e+00 1.404569243646033860e-01 4.010282657884539637e-01 6.235440264176517200e-02 1.503118952226191851e+00
5.321383825770927615e+03 1.044704412621584311e+00 1.296931402185975690e-01 4.385811478041091727e-01 5.766004932187891036e-02 1.482993410129514800e+00
5.002422339583179564e+03 9.535616823889350169e-01 1.319587981739703264e-01 4.264269327556727274e-01 5.743523932495186307e-02 1.612777070780067490e+00
5.037623821235027208e+03 1.023905354731801776e+00 1.320994776002560600e-01 4.230790836849612768e-01 6.147013999330482731e-02 1.562334660060388458e+00
5.396012718138644232e+03 9.896028060991207687e-01 1.386804096081662441e-01 4.037408967142250282e-01 6.206925321076257190e-02 1.596783714513425601e+00
4.976699187528497532e+03 9.716717127165536150e-01 1.325152178762903366e-01 4.380314830729143405e-01 5.907415039888667257e-02 1.492069675122079664e+00
5.245243485352248172e+03 1.011909448401708822e+00 1.274750793783983038e-01 4.288331194840374616e-01 6.219284798739486281e-02 1.634186482778410499e+00
4.980928444936672349e+03 9.762193784171054878e-01 1.278505778828081529e-01 4.024298312805739686e-01 6.050105973105390084e-02 1.543319139162158349e+00
5.122155065682490203e+03 9.856095429957066889e-01 1.377346106808718107e-01 4.004477025288603054e-01 5.911562822496679859e-02 1.497675160498774583e+00
5.280489581233829995e+03 1.025313807280577194e+00 1.395380928734738790e-01 4.082856545596699194e-01 6.253562843804651161e-02 1.606353209624079348e+00
5.020201519413297319e+03 9.936310371947630893e-01 1.384656344864911015e-01 4.272922937947957189e-01 5.875461125224962222e-02 1.514829198636303831e+00
5.328788143414890328e+03 9.532908746381170140e-01 1.307090523353603151e-01 4.228406830795569671e-01 6.133013834146066462e-02 1.534018413226844846e+00
5.372583789859836543e+03 1.008593823932213418e+00 1.390825810440121379e-01 4.263319267428312132e-01 6.191005608362391138e-02 1.488261431183159456e+00
5.346696188647613781e+03 1.016103254891568941e+00 1.358608813722582964e-01 4.162872692469269387e-01 5.801389334756596600e-02 1.591009891102390883e+00
