Iteration	Sim Time	Wall Time	Delta Time	Avg Press	Avg Temp	Avg KE	Particle Num	Avg Particle T
0	0.00000000000000000e+00	0.080	4.27775309535978409e-05	4.34922999999999931e+01	2.88149591838550862e+02	0.00000000000000000e+00	0	-nan
1	4.27775309535978409e-05	0.096	4.27811516221676978e-05	4.34883882521826237e+01	2.88123675595076520e+02	1.12421237418989292e-07	0	-nan
2	8.55586825757655319e-05	0.112	4.27796798996099787e-05	4.34844859145106710e+01	2.88097824781536701e+02	7.46129446464900095e-07	0	-nan
3	1.28338362475375511e-04	0.129	4.27738614722607740e-05	4.34805930428682501e+01	2.88072046321509674e+02	2.62941745453532882e-06	0	-nan
4	1.71112223947636271e-04	0.146	4.27648920602004604e-05	4.34767095635388472e+01	2.88046348299030228e+02	6.53484069056257355e-06	0	-nan
5	2.13877116007836731e-04	0.161	4.27542530163874953e-05	4.34728353473909763e+01	2.88020738294642797e+02	1.28803137344523040e-05	0	-nan
6	2.56631369024224213e-04	0.175	4.27435135800457403e-05	4.34689702601836103e+01	2.87995222019359630e+02	2.15199420760107566e-05	0	-nan
7	2.99374882604269981e-04	0.190	4.27341308323656740e-05	4.34651141751071748e+01	2.87969802560794619e+02	3.18095148817359541e-05	0	-nan
8	3.42109013436635648e-04	0.206	4.27272768231433463e-05	4.34612669652409878e+01	2.87944480296778124e+02	4.28817647926432895e-05	0	-nan
9	3.84836290259778994e-04	0.219	4.27237160097875769e-05	4.34574285072258562e+01	2.87919253312454032e+02	5.39692716158136261e-05	0	-nan
10	4.27560006269566578e-04	0.231	4.27237468419294295e-05	4.34535987146899387e+01	2.87894118065771352e+02	6.46158846075470483e-05	0	-nan
