Iteration	Sim Time	Wall Time	Delta Time	Avg Press	Avg Temp	Avg KE	Particle Num	Avg Particle T
20000	8.14215552168231181e-03	0.265	4.07107776084209398e-07	1.04062284872159420e+05	3.01990926070040700e+02	3.61953586426265383e+00	7380	4.24323959706091841e+02
20001	8.14256262945839589e-03	0.300	4.07107776084209398e-07	1.04062251739013547e+05	3.01991127477104840e+02	3.61947477512090465e+00	7380	4.24323959706091841e+02
20002	8.14296973723447996e-03	0.333	4.07107776084209398e-07	1.04062218036084916e+05	3.01991328447183548e+02	3.61941380602759999e+00	7380	4.24323959706091841e+02
20003	8.14337684501056404e-03	0.367	4.07107776084209398e-07	1.04062183763790585e+05	3.01991528981033866e+02	3.61935286638341847e+00	7380	4.24323959706091841e+02
20004	8.14378395278664811e-03	0.400	4.07107776084209398e-07	1.04062148922702268e+05	3.01991729076612444e+02	3.61929186637597899e+00	7380	4.24323959706091841e+02
20005	8.14419106056273219e-03	0.433	4.07107776084209398e-07	1.04062113514668265e+05	3.01991928732768997e+02	3.61923072005830981e+00	7380	4.24323959706091841e+02
20006	8.14459816833881627e-03	0.471	4.07107776084209398e-07	1.04062077542845815e+05	3.01992127949301448e+02	3.61916934602015727e+00	7380	4.24323959706091841e+02
20007	8.14500527611490034e-03	0.502	4.07107776084209398e-07	1.04062041011725043e+05	3.01992326727005434e+02	3.61910766774933634e+00	7380	4.24323959706091841e+02
20008	8.14541238389098442e-03	0.540	4.07107776084209398e-07	1.04062003927143902e+05	3.01992525067717452e+02	3.61904561375106226e+00	7380	4.24323959706091841e+02
20009	8.14581949166706849e-03	0.574	4.07107776084209398e-07	1.04061966296293453e+05	3.01992722974351523e+02	3.61898311745642465e+00	7380	4.24323959706091841e+02
20010	8.14622659944315257e-03	0.609	4.07107776084209398e-07	1.04061928127713647e+05	3.01992920450928295e+02	3.61892011695804872e+00	7380	4.24323959706091841e+02
