Iteration	Sim Time	Wall Time	Delta Time	Avg Press	Avg Temp	Avg KE	Particle Num	Avg Particle T
0	0.00000000000000000e+00	0.195	4.07107776084209398e-07	1.04039999999999971e+05	3.00000000000000000e+02	2.38459529399346915e+00	0	-nan
1	4.07107776084209398e-07	1.824	4.07107776084209398e-07	1.04040001493362826e+05	3.00000001229993870e+02	2.38459560374261548e+00	568	3.15194152981160755e+02
2	8.14215552168418796e-07	1.861	4.07107776084209398e-07	1.04040003297115167e+05	3.00000002710503907e+02	2.38459748947444039e+00	568	3.15194152981160755e+02
3	1.22132332825262819e-06	1.897	4.07107776084209398e-07	1.04040005157513559e+05	3.00000004232875938e+02	2.38460963577734564e+00	568	3.15194152981160755e+02
4	1.62843110433683759e-06	1.933	4.07107776084209398e-07	1.04040007143731913e+05	3.00000005859020291e+02	2.38462432184330453e+00	568	3.15194152981160755e+02
5	2.03553888042104720e-06	1.969	4.07107776084209398e-07	1.04040009255040597e+05	3.00000007588344431e+02	2.38463946011092931e+00	568	3.15194152981160755e+02
6	2.44264665650525681e-06	2.004	4.07107776084209398e-07	1.04040011488758246e+05	3.00000009418636807e+02	2.38465500166723876e+00	568	3.15194152981160755e+02
7	2.84975443258946642e-06	2.040	4.07107776084209398e-07	1.04040013841816442e+05	3.00000011347366467e+02	2.38467093938001318e+00	568	3.15194152981160755e+02
8	3.25686220867367603e-06	2.072	4.07107776084209398e-07	1.04040016310811116e+05	3.00000013371725686e+02	2.38468726570905698e+00	568	3.15194152981160755e+02
9	3.66396998475788564e-06	2.111	4.07107776084209398e-07	1.04040018892023858e+05	3.00000015488647364e+02	2.38470397186916605e+00	568	3.15194152981160755e+02
10	4.07107776084209525e-06	2.143	4.07107776084209398e-07	1.04040021581444686e+05	3.00000017694824010e+02	2.38472104787557981e+00	568	3.15194152981160755e+02
