Iteration	Sim Time	Wall Time	Delta Time	Avg Press	Avg Temp	Avg KE	Particle Num	Avg Particle T
1500	5.14286640716192522e+00	0.510	3.06658941952197336e-03	1.62853227274597629e+02	8.04352482470679675e+00	9.29806247293390176e-02	500000	3.06966133626662440e+02
1501	5.14593299658144687e+00	1.891	3.06533211226838126e-03	1.62893886920423256e+02	8.04553925984705387e+00	9.28590885285369427e-02	500000	3.06990276866398460e+02
1502	5.14899832869371554e+00	3.336	3.06379765922458426e-03	1.62934532877800166e+02	8.04755252994841008e+00	9.27377090174132668e-02	500000	3.07014401006827995e+02
1503	5.15206212635294047e+00	4.615	3.06252804750116892e-03	1.62975161359698944e+02	8.04956445825225053e+00	9.26167626284540857e-02	500000	3.07038503884835507e+02
1504	5.15512465440044121e+00	5.797	3.06139459650776749e-03	1.63015775791866105e+02	8.05157524292905435e+00	9.24964402361184435e-02	500000	3.07062587601372684e+02
1505	5.15818604899694932e+00	7.150	3.06064956368094299e-03	1.63056377970510766e+02	8.05358493684961552e+00	9.23767517629104362e-02	500000	3.07086653237577991e+02
1506	5.16124669856063001e+00	8.298	3.05986941403520304e-03	1.63096973038609406e+02	8.05559379614048865e+00	9.22576980908736688e-02	500000	3.07110703853035318e+02
1507	5.16430656797466536e+00	9.185	3.05876543090758801e-03	1.63137560604179811e+02	8.05760178653992298e+00	9.21390910874458069e-02	500000	3.07134739177904578e+02
1508	5.16736533340557269e+00	11.092	3.05735146706748043e-03	1.63178136581954789e+02	8.05960874927868609e+00	9.20204090887312420e-02	500000	3.07158756679029239e+02
1509	5.17042268487263978e+00	12.555	3.05600944377206743e-03	1.63218697076257143e+02	8.06161453907100345e+00	9.19011114805415308e-02	500000	3.07182753936705808e+02
1510	5.17347869431641172e+00	14.031	3.05520757367468750e-03	1.63259243020156333e+02	8.06361917246347204e+00	9.17812342836174661e-02	500000	3.07206731533245829e+02
1511	5.17653390189008622e+00	15.240	3.05517731282581610e-03	1.63299781273453647e+02	8.06562330136001115e+00	9.16615085173804606e-02	500000	3.07230693724535229e+02
1512	5.17958907920291178e+00	16.261	3.05572274630534942e-03	1.63340321724014046e+02	8.06762766022763778e+00	9.15427699971401027e-02	500000	3.07254646574125900e+02
1513	5.18264480194921706e+00	17.298	3.05640845086695709e-03	1.63380871941989170e+02	8.06963259077798334e+00	9.14251670658533522e-02	500000	3.07278594597624476e+02
1514	5.18570121040008392e+00	18.496	3.05675188064894214e-03	1.63421434015035004e+02	8.07163815911420279e+00	9.13081311267340684e-02	500000	3.07302538891479628e+02
1515	5.18875796228073316e+00	19.882	3.05668520220422988e-03	1.63462003581700714e+02	8.07364409646903347e+00	9.11912265674938577e-02	500000	3.07326476769876024e+02
1516	5.19181464748293742e+00	21.647	3.05604388724058486e-03	1.63502575215868944e+02	8.07565019780694549e+00	9.10744264886635541e-02	500000	3.07350405021641507e+02
1517	5.19487069137017787e+00	23.152	3.05515361077232130e-03	1.63543141361069246e+02	8.07765596975508160e+00	9.09575719488172479e-02	500000	3.07374319153388967e+02
1518	5.19792584498094978e+00	24.126	3.05477775107956253e-03	1.63583698909964113e+02	8.07966134335604558e+00	9.08401689785601069e-02	500000	3.07398217229113868e+02
1519	5.20098062273202899e+00	25.672	3.05495074581594228e-03	1.63624254755734285e+02	8.08166676221243208e+00	9.07220235407850684e-02	500000	3.07422103289347717e+02
1520	5.20403557347784496e+00	27.688	3.05595696636658774e-03	1.63664815958661165e+02	8.08367256896451991e+00	9.06036731137223189e-02	500000	3.07445981634656448e+02
1521	5.20709153044421136e+00	28.782	3.05729880634736601e-03	1.63705393180485430e+02	8.08567954262674782e+00	9.04860889955354936e-02	500000	3.07469858776964770e+02
1522	5.21014882925055911e+00	30.103	3.05851894760001677e-03	1.63745990717466924e+02	8.08768790756997547e+00	9.03696638556438503e-02	500000	3.07493737332143326e+02
1523	5.21320734819815890e+00	30.885	3.05925016849113111e-03	1.63786607141046574e+02	8.08969748538737399e+00	9.02539423620591086e-02	500000	3.07517616339102460e+02
1524	5.21626659836664963e+00	32.364	3.05954668381070664e-03	1.63827236268475900e+02	8.09170770451963683e+00	9.01381736928969501e-02	500000	3.07541491973744996e+02
1525	5.21932614505046022e+00	33.855	3.06000606000398842e-03	1.63867872478560770e+02	8.09371815156298346e+00	9.00219955573777902e-02	500000	3.07565360841857171e+02
1526	5.22238615111046389e+00	34.751	3.06104541243428603e-03	1.63908517793398659e+02	8.09572872579034808e+00	8.99057523320142271e-02	500000	3.07589224216298931e+02
1527	5.22544719652289835e+00	35.910	3.06271818422705188e-03	1.63949179713508641e+02	8.09773986346315056e+00	8.97899320925310135e-02	500000	3.07613086617325393e+02
1528	5.22850991470712501e+00	36.992	3.06492915283450296e-03	1.63989866636511806e+02	8.09975219824979220e+00	8.96745564627025593e-02	500000	3.07636952977520821e+02
1529	5.23157484385995986e+00	38.277	3.06564250001009012e-03	1.64030585851268825e+02	8.10176628399278442e+00	8.95592659310732037e-02	500000	3.07660827480320734e+02
1530	5.23464048635996981e+00	39.360	3.06520150013317536e-03	1.64071317528722233e+02	8.10378142175351535e+00	8.94439545799967095e-02	500000	3.07684698451554993e+02
1531	5.23770568786010315e+00	40.213	3.06479089027060503e-03	1.64112046288788974e+02	8.10579708928555931e+00	8.93287714379330106e-02	500000	3.07708556904596378e+02
1532	5.24077047875037394e+00	41.274	3.06391623792457964e-03	1.64152772478706169e+02	8.10781315150146575e+00	8.92138510735087931e-02	500000	3.07732403082940380e+02
1533	5.24383439498829862e+00	42.338	3.06342166891404848e-03	1.64193489919487604e+02	8.10982912469563111e+00	8.90992325790008616e-02	500000	3.07756233387952420e+02
1534	5.24689781665721267e+00	43.404	3.06341917595963223e-03	1.64234203788291182e+02	8.11184505167549297e+00	8.89845759433660205e-02	500000	3.07780050788646236e+02
1535	5.24996123583317242e+00	44.582	3.06444741309987948e-03	1.64274920743514514e+02	8.11386101989894470e+00	8.88695594253952753e-02	500000	3.07803859119263848e+02
1536	5.25302568324627206e+00	45.559	3.06577864419432626e-03	1.64315654457488108e+02	8.11587751644232824e+00	8.87542105440831952e-02	500000	3.07827666393399340e+02
1537	5.25609146189046594e+00	46.970	3.06642237147006832e-03	1.64356408809363472e+02	8.11789473183429422e+00	8.86388905963603341e-02	500000	3.07851474962751183e+02
1538	5.25915788426193576e+00	48.213	3.06660587970182096e-03	1.64397174585419720e+02	8.11991210084290671e+00	8.85238127010639364e-02	500000	3.07875279487053319e+02
1539	5.26222449014163729e+00	49.601	3.06618034682931175e-03	1.64437945786153591e+02	8.12192937302143392e+00	8.84086959270282552e-02	500000	3.07899076395219652e+02
1540	5.26529067048846677e+00	50.605	3.06536121995628925e-03	1.64478714446179538e+02	8.12394636209226384e+00	8.82932286980591535e-02	500000	3.07922860966634403e+02
